"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
4,"223 v 220",0.96551724137931,87,84,0,"yes","no","*"," ","*"
4,"2395 v 2315",0.903225806451613,31,28,0,"yes","no","*"," ","*"
4,"241 v 421",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
4,"256 v 526",1,6,6,0.0313,"yes","no","*"," ","*"
4,"26 v 73",0.986666666666667,75,74,0,"yes","no","*"," ","*"
4,"261 v 162",1,6,6,0.0313,"yes","no","*"," ","*"
4,"273 v 237",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
4,"273 v 873",1,8,8,0.0078,"yes","no","*"," ","*"
4,"274 v 234",0.875,8,7,0.0703,"no","no"," "," "," "
4,"274 v 273",0.875,8,7,0.0703,"no","no"," "," "," "
4,"278 v 578",1,8,8,0.0078,"yes","no","*"," ","*"
4,"285 v 258",1,6,6,0.0313,"yes","no","*"," ","*"
4,"3 v 7",1,90,90,0,"yes","no","*"," ","*"
4,"30 v 60",0.986666666666667,75,74,0,"yes","no","*"," ","*"
4,"35 v 53",0.916666666666667,12,11,0.0063,"yes","no","*"," ","*"
4,"350 v 305",0.6,15,9,0.6072,"no","no"," "," "," "
4,"351 v 451",1,8,8,0.0078,"yes","no","*"," ","*"
4,"352 v 358",1,8,8,0.0078,"yes","no","*"," ","*"
4,"36 v 306",1,15,15,1e-04,"yes","no","*"," ","*"
4,"364 v 436",1,6,6,0.0313,"yes","no","*"," ","*"
4,"402 v 42",1,15,15,1e-04,"yes","no","*"," ","*"
4,"4208 v 4820",0.838709677419355,31,26,2e-04,"yes","no","*"," ","*"
4,"437 v 137",1,8,8,0.0078,"yes","no","*"," ","*"
4,"451 v 459",1,8,8,0.0078,"yes","no","*"," ","*"
4,"459 v 945",1,6,6,0.0313,"yes","no","*"," ","*"
4,"4620 v 4520",0.954545454545455,44,42,0,"yes","no","*"," ","*"
4,"475 v 574",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
4,"492 v 294",1,6,6,0.0313,"yes","no","*"," ","*"
4,"492 v 592",0.875,8,7,0.0703,"no","no"," "," "," "
4,"5035 v 5605",0.870967741935484,31,27,0,"yes","no","*"," ","*"
4,"513 v 517",1,8,8,0.0078,"yes","no","*"," ","*"
4,"534 v 345",1,6,6,0.0313,"yes","no","*"," ","*"
4,"536 v 5362",0.967741935483871,31,30,0,"yes","no","*"," ","*"
4,"585 v 525",0.954022988505747,87,83,0,"yes","no","*"," ","*"
4,"587 v 857",1,6,6,0.0313,"yes","no","*"," ","*"
4,"589 v 958",1,6,6,0.0313,"yes","no","*"," ","*"
4,"6 v 60",1,12,12,5e-04,"yes","no","*"," ","*"
4,"6 v 8",1,44,44,0,"yes","no","*"," ","*"
4,"6040 v 6400",0.67741935483871,31,21,0.0708,"no","no"," "," "," "
4,"612 v 642",1,8,8,0.0078,"yes","no","*"," ","*"
4,"613 v 361",1,6,6,0.0313,"yes","no","*"," ","*"
4,"64 v 604",1,15,15,1e-04,"yes","no","*"," ","*"
4,"651 v 621",1,8,8,0.0078,"yes","no","*"," ","*"
4,"653 v 643",0.875,8,7,0.0703,"no","no"," "," "," "
4,"670 v 270",0.866666666666667,75,65,0,"yes","no","*"," ","*"
4,"681 v 618",1,6,6,0.0313,"yes","no","*"," ","*"
4,"683 v 863",1,6,6,0.0313,"yes","no","*"," ","*"
4,"690 v 609",0.935483870967742,31,29,0,"yes","no","*"," ","*"
4,"693 v 613",1,8,8,0.0078,"yes","no","*"," ","*"
4,"72 v 27",0.942528735632184,87,82,0,"yes","no","*"," ","*"
4,"7300 v 7003",0.838709677419355,31,26,2e-04,"yes","no","*"," ","*"
4,"735 v 753",1,6,6,0.0313,"yes","no","*"," ","*"
4,"751 v 571",0.838709677419355,31,26,2e-04,"yes","no","*"," ","*"
4,"765 v 567",1,6,6,0.0313,"yes","no","*"," ","*"
4,"782 v 382",1,8,8,0.0078,"yes","no","*"," ","*"
4,"794 v 749",1,6,6,0.0313,"yes","no","*"," ","*"
4,"807 v 78",1,15,15,1e-04,"yes","no","*"," ","*"
4,"846 v 836",1,8,8,0.0078,"yes","no","*"," ","*"
4,"851 v 854",1,8,8,0.0078,"yes","no","*"," ","*"
4,"874 v 875",1,8,8,0.0078,"yes","no","*"," ","*"
4,"891 v 89",0.916666666666667,12,11,0.0063,"yes","no","*"," ","*"
4,"899 v 988",0.806451612903226,31,25,9e-04,"yes","no","*"," ","*"
4,"945 v 942",1,8,8,0.0078,"yes","no","*"," ","*"
4,"974 v 174",1,8,8,0.0078,"yes","no","*"," ","*"
4,"984 v 894",1,6,6,0.0313,"yes","no","*"," ","*"
